No.	Quantity	Designator	Footprint	Value	Manufacturer Part	Manufacturer	Supplier Part	Supplier	LCSC Price	Comment	Device
1	1	C1	C1206	10uF	CL31B106KAHNNNE	SAMSUNG(三星)	C14860	LCSC	0.2194	10uF	CL31B106KAHNNNE
2	3	"C2,C3,C4"	C0603	100nF	FCC0603B104K500CT	FOJAN(富捷)	C5137636	LCSC	0.0173	100nF	FCC0603B104K500CT
3	2	"CN1,CN2"	HDR-TH_10P-P2.54-V-M		CS-1109-1*10(L11.5)	CST(永丰盈)	C5142849	LCSC	0.2524	"Generic part; can be purchased via Amazon, Taobao, etc."	CS-1109-1*10(L11.5)
4	2	"D1,D2"	SOD-123FL_L2.8-W1.9-LS3.7-RD		SMF6.0A	JSMSEMI(杰盛微)	C2857264	LCSC	0.0975	SMF6.0A	SMF6.0A_C2857264
5	1	H1	HDR-TH_3P-P2.54-V-M-1		2.54-1*3P针	BOOMELE(博穆精密)	C49257	LCSC	0.1281	"Generic part; can be purchased via Amazon, Taobao, etc."	2.54-1*3P针
6	14	"R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14"	R0603	220Ω	RCA03220RJLF	HKR(香港电阻)	C22356650	LCSC	0.0043	220Ω	RCA03220RJLF
7	2	"R15,R16"	R0603	22Ω	0603WAF220JT5E	UNI-ROYAL(厚声)	C23345	LCSC	0.0078	22Ω	0603WAF220JT5E
8	4	"SCREW1,SCREW2,SCREW3,SCREW4"	M2螺丝							"Generic part; can be purchased via Amazon, Taobao, etc."	M2螺丝
9	1	U1	USB-A-TH_XUBF-012-0404		XUBF-012-0404	LX(连欣科技)	C7527656	LCSC	0.2816	XUBF-012-0404	XUBF-012-0404
10	1	U2	TSSOP-20_L6.5-W4.4-P0.65-LS6.5-BL		STC8H8K64U-45I-TSSOP20	STC	C5210758	LCSC	3.47	STC8H8K64U-45I-TSSOP20	STC8H8K64U-45I-TSSOP20
